Time,data
1652390118.4116383,s20000.0
1652390118.6279507,s20000.0
1652390118.6307201,s20000.0
1652390118.70639,s20000.0
1652390118.8055544,s20000.0
1652390118.8934255,s20000.0
1652390118.990622,s20000.0
1652390119.0780418,s20000.0
1652390119.178526,s20000.0
1652390119.268225,s20000.0
1652390119.4483562,s20000.0
1652390119.4763563,s20000.0
1652390119.5664535,s20000.0
1652390119.652226,s20000.0
1652390119.8575585,s20000.0
1652390119.866041,s20000.0
1652390119.9512825,s20000.0
1652390120.0476787,s20000.0
1652390120.1365845,s20000.0
1652390120.2359405,s20000.0
1652390120.3241818,s20000.0
1652390120.411843,s20000.0
1652390120.573463,s20000.0
1652390120.6193676,s20000.0
1652390120.7097309,s20000.0
1652390120.806231,s20000.0
1652390120.9044237,s20000.0
1652390120.9923062,s20000.0
1652390121.0842967,s20000.0
1652390121.1808877,s20000.0
1652390121.3950763,s20000.0
1652390121.397357,s20000.0
1652390121.4749515,s20000.0
1652390121.5733156,s20000.0
1652390121.663054,s20000.0
1652390121.7629,s20000.0
1652390121.849914,s20000.0
1652390121.9475539,s20000.0
1652390122.0462146,s20000.0
1652390122.1366165,s20000.0
1652390122.3153286,s20000.0
1652390122.3414001,s20000.0
1652390122.4309616,s20000.0
1652390122.5183725,s20000.0
1652390122.7248793,s20000.0
1652390122.7459455,s20000.0
1652390122.8126125,s20000.0
1652390122.9123805,s20000.0
1652390123.0024302,s20000.0
1652390123.1000018,s20000.0
1652390123.1868026,s20000.0
1652390123.2869055,s20000.0
1652390123.397118,s20000.0
1652390123.4849732,s20000.0
1652390123.583296,s20000.0
1652390123.6701207,s20000.0
1652390123.7695887,s20000.0
1652390123.8606026,s20000.0
1652390123.95888,s20000.0
1652390124.0694458,s20000.0
1652390124.156237,s20000.0
1652390124.2425005,s20000.0
1652390124.3397496,s20000.0
1652390124.4336364,s20000.0
1652390124.5287223,s20000.0
1652390124.6159532,s20000.0
1652390124.7340887,s20000.0
1652390124.8232532,s20000.0
1652390124.921646,s20000.0
1652390125.0108652,s20000.0
1652390125.1090975,s20000.0
